game_id,round_id,trial_index,block,target,controlled,snd_value,snd_class,chat_mode,speaker_id,listener_id,context,sec_until_press,description,description_len,time_to_message,sec_until_click,response,correct
eopF622nhHAfYBAbw,ajEMZ8CGEEtsPD7g7,10,1,page5-96.svg,True,0.5444444444444445,low,single-utterance-unidirectional,116,237,"['page6-226.svg', 'page5-96.svg', 'page6-206.svg', 'page7-53.svg', 'page6-71.svg', 'page7-73.svg', 'page8-159.svg', 'page5-128.svg', 'page8-58.svg', 'page1-150.svg']",5.0,"a bird flying left, wings on top and tail to the right",12.0,28.0,"(49,)",page5-96.svg,True
NBDRu7N7ZS8cWHsSp,yBXSMmFBDKKc8mmza,11,1,page3-61.svg,False,1.0,high,single-utterance-unidirectional,188,185,"['page7-166.svg', 'page1-95.svg', 'page5-153.svg', 'page4-190.svg', 'page7-202.svg', 'page7-126.svg', 'page3-61.svg', 'page2-16.svg', 'page5-96.svg', 'page7-127.svg']",12.0,pointed triangle with table next to it,7.0,19.0,,,
YjNav28ajaN8MaDor,BGPiPd3xwbfgTNPcp,20,3,page5-232.svg,False,0.7277777777777779,low,single-utterance-unidirectional,207,189,"['page5-45.svg', 'page8-21.svg', 'page4-142.svg', 'page5-85.svg', 'page7-22.svg', 'page5-232.svg', 'page7-157.svg', 'page3-66.svg', 'page8-248.svg', 'page7-225.svg']",11.0,up arrow,2.0,14.0,"(22,)",page5-232.svg,True
QT3vWwrgmdivMgG4h,EfaBDvwhaJjvztEQv,18,3,page-F.svg,False,0.6685185185185186,low,single-utterance-unidirectional,178,22,"['page1-48.svg', 'page1-133.svg', 'page9-40.svg', 'page8-38.svg', 'page7-44.svg', 'page-F.svg', 'page5-45.svg', 'page4-195.svg', 'page6-206.svg', 'page7-55.svg']",4.0,person sitting against a wall,5.0,7.0,"(11,)",page-F.svg,True
8RoqYM3LR5QpJwzT5,N98EAZnZes3PidmBT,12,2,page1-185.svg,False,0.6611111111111112,low,single-utterance-unidirectional,63,107,"['page5-139.svg', 'page5-154.svg', 'page7-126.svg', 'page8-246.svg', 'page6-160.svg', 'page7-125.svg', 'page5-85.svg', 'page4-180.svg', 'page1-185.svg', 'page7-177.svg']",7.0,Chalice or cup,3.0,17.0,"(21,)",page1-185.svg,True
YjNav28ajaN8MaDor,atpK8akibgDveWyuw,27,4,page8-248.svg,False,0.6851851851851852,low,single-utterance-unidirectional,189,207,"['page7-22.svg', 'page3-66.svg', 'page5-232.svg', 'page7-225.svg', 'page8-248.svg', 'page4-142.svg', 'page7-157.svg', 'page8-21.svg', 'page5-45.svg', 'page5-85.svg']",9.0,Horse,1.0,10.0,"(13,)",page8-248.svg,True
C4BE3Bcky8iq2Dip5,jotAsb8maP6tKqsro,21,3,page1-133.svg,False,0.5444444444444445,low,single-utterance-unidirectional,230,142,"['page1-48.svg', 'page1-133.svg', 'page9-40.svg', 'page8-38.svg', 'page7-44.svg', 'page-F.svg', 'page5-45.svg', 'page4-195.svg', 'page6-206.svg', 'page7-55.svg']",8.0,house,1.0,11.0,"(17,)",page1-133.svg,True
zPXcsGzCxgX3oLTFo,MFtPZewDhSd3CxonY,10,1,page5-71.svg,False,0.3833333333333333,low,single-utterance-unidirectional,23,40,"['page5-63.svg', 'page6-208.svg', 'page4-128.svg', 'page5-71.svg', 'page3-33.svg', 'page6-52.svg', 'page5-84.svg', 'page5-85.svg', 'page4-155.svg', 'page7-225.svg']",11.0,bird flying and looking down towards the right,8.0,17.0,"(25,)",page5-71.svg,True
nyKhaA53drqLC7Rzk,7JaMTTJBuYzLZFppY,12,2,page6-109.svg,False,1.0,high,single-utterance-unidirectional,28,186,"['page6-245.svg', 'page6-107.svg', 'page4-142.svg', 'page7-177.svg', 'page8-18.svg', 'page5-80.svg', 'page7-217.svg', 'page5-155.svg', 'page2-131.svg', 'page6-109.svg']",10.0,trapezoid with triangles on the right,6.0,17.0,"(35,)",page6-109.svg,True
nf5oZri8MdxJqkW3r,YHnzzPvZt8ifvDo5T,5,0,page6-171.svg,False,0.4148148148148148,low,single-utterance-unidirectional,156,195,"['page3-70.svg', 'page8-156.svg', 'page7-40.svg', 'page2-165.svg', 'page8-21.svg', 'page6-171.svg', 'page1-95.svg', 'page3-61.svg', 'page7-29.svg', 'page5-101.svg']",5.0,a person walking to the right,6.0,13.0,"(24,)",page6-171.svg,True
